What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Qori Annisa,Female,Ilmu Komunikasi,Periklanan,"Public Relations, Branding, Komunikasi","Social Media, Content Creation, SEO",9.23,Yes,NA,Yes,Content Creator,NA
Cahyo Wibowo,Female,BA,History,"Public Policy, Law, Governance","MS Office, Content Writing, SEO",6.88,No,NA,No,NA,
Dian Rahayu,Male,Pertanian,Agroteknologi,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",7.02,Yes,NA,Yes,Penyuluh Pertanian,NA
Petra Wijaya,Female,Ilmu Komunikasi,Jurnalistik,"Jurnalistik, Media, Penulisan Berita","Penulisan, Editing, Wawancara",8.56,No,NA,No,NA,NA
Nina Kusuma,Female,Sastra Inggris,Linguistik,"Pengajaran, Pendidikan, TEFL","Mengajar, Kurikulum, TOEFL",6.13,Yes,NA,Yes,Guru Bahasa Inggris,NA
Xena Pratiwi,Female,BCA,Information Technology,"Programming, Web Development, Software","Python, Java, SQL",7.2,Yes,NA,No,,
Fitri Handayani,Female,Sistem Informasi,Enterprise System,"Database, Data Management, BI","PHP, MySQL, Web Development",6.79,No,NA,Yes,Business Analyst,NA
Agus Salim,Female,Teknik Industri,Logistik,"Quality Control, Six Sigma, Kaizen","Analisis Data, Minitab, SPSS",8.82,No,NA,No,NA,NA
Eko Wahyudi,Male,Akuntansi,Perpajakan,"Keuangan, Investasi, Pasar Modal","Perpajakan, e-SPT, Brevet",8.67,No,NA,Yes,Auditor,NA
Agus Salim,Female,Peternakan,Produksi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",8.16,Yes,Sertifikasi Penyuluh Peternakan,Yes,Nutritionist Ternak,NA
Wahyu Nugroho,Male,Akuntansi,Akuntansi Manajemen,"Keuangan, Investasi, Pasar Modal","Perpajakan, e-SPT, Brevet",9.44,No,NA,No,NA,Magister Akuntansi
Fara Aulia,Female,Perikanan,Sosial Ekonomi Perikanan,"Pengolahan Ikan, Teknologi Pangan","Pengolahan Ikan, HACCP, Food Safety",7.2,No,NA,No,NA,Magister Perikanan
Ivan Gunawan,Female,Manajemen,Manajemen Keuangan,"Keuangan, Investasi, Bisnis","Financial Planning, Budgeting, Excel",8.41,No,NA,No,NA,MBA
Agus Salim,Male,Hubungan Internasional,Politik Internasional,"Perdagangan Internasional, Ekonomi Global","Komunikasi, Presentasi, Diplomasi",9.37,Yes,NA,Yes,Staf Kedutaan,NA
Mohammad Rizki,Female,B.Tech,Computer Science,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",7.61,No,NA,Yes,ML Engineer,Masters in Engineering
Ragil Saputro,Male,Teknik Elektro,Elektronika,"Tenaga Listrik, Energi Terbarukan","Arduino, Raspberry Pi, C++, IoT",6.06,Yes,PLC Siemens,No,NA,NA
Zara Nabila,Male,Farmasi,Bioteknologi Farmasi,"Farmasi Klinis, Obat, Pasien","Penelitian, Laboratorium, Analisis",7.92,No,NA,Yes,Regulatory Affairs,
Galih Purnomo,Male,BA,History,"Psychology, Counseling, HR","Public Speaking, Leadership, Teamwork",8.89,Yes,HR Certification,Yes,Content Writer,MA English
Nita Anggraini,Male,B.Com,Economics,"Marketing, Sales, Business","Tally, MS Excel, Accounting",8.6,Yes,NA,No,NA,MBA Finance
Ulfah Rahmawati,Female,Psikologi,Psikologi Pendidikan,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",7.38,Yes,Sertifikasi Psikolog,Yes,Psikolog,NA
Lisa Amelia,Male,Hukum,Hukum Perdata,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",9.1,Yes,,Yes,Jaksa,
Agus Salim,Female,Peternakan,Teknologi Hasil Ternak,Teknologi Pengolahan Hasil Ternak,"Formulasi Pakan, Nutrisi, Lab",8.75,Yes,Halal Auditor,Yes,Nutritionist Ternak,Masters in Animal Science
Miko Prasetyo,Male,Hubungan Internasional,Studi Keamanan,"Perdagangan Internasional, Ekonomi Global","Komunikasi, Presentasi, Diplomasi",7.29,Yes,IELTS 7.0+,Yes,Staf NGO Internasional,MA Diplomasi
Ulfa Nuraini,Male,B.Com,Commerce,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",8.42,Yes,Financial Modeling,No,,NA
Sari Indah,Female,Pertanian,Hortikultura,"Agribisnis, Wirausaha, Pasar Tani","Drone Pertanian, Smart Farming, IoT",9.31,Yes,Smart Farming Cert,Yes,Penyuluh Pertanian,NA
Taufik Hidayat,Male,Ekonomi Pembangunan,Ekonomi Regional,"Perdagangan Internasional, Ekspor Impor","Kebijakan Publik, Riset, Laporan",7.52,No,NA,No,NA,NA
Mohammad Rizki,Female,Teknik Elektro,Telekomunikasi,"Telekomunikasi, Jaringan, RF","Arduino, Raspberry Pi, C++, IoT",7.71,Yes,PLC Siemens,No,NA,NA
Wahyu Nugroho,Female,Pendidikan,Pendidikan Matematika,"Mengajar, Kurikulum, Pendidikan","Mengajar, RPP, Kurikulum Merdeka",9.09,No,NA,Yes,Instruktur,Magister Pendidikan
Hana Sari,Male,Desain Komunikasi Visual,Desain UI/UX,"Animasi, Motion Graphics, Video","Adobe Illustrator, Photoshop, InDesign",8.51,Yes,NA,No,NA,Masters in Design
Jeni Kurniawan,Female,B.Tech,Civil,"IoT, Embedded Systems, Robotics","Python, Java, C++, SQL",8.24,No,NA,No,NA,
Fara Aulia,Male,Sastra Inggris,Penerjemahan,"Pengajaran, Pendidikan, TEFL","Penerjemahan, Bahasa Inggris, Riset",6.43,Yes,TEFL Certification,No,NA,MA Linguistics
Dita Maharani,Female,B.Com,Commerce,"Marketing, Sales, Business","Tally, MS Excel, Accounting",9.14,Yes,,Yes,Accountant,NA
Ulfa Nuraini,Female,Hukum,Hukum Internasional,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",8.63,No,NA,Yes,Jaksa,NA
Xena Pratiwi,Male,B.Tech,Computer Science,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",9.22,Yes,AWS Solutions Architect,No,,NA
Ivan Gunawan,Male,Teknik Industri,Teknik Produksi,"Supply Chain, Logistik, Operasional","AutoCAD, Visio, Lean Six Sigma",6.4,No,NA,Yes,Quality Engineer,NA
Kevin Surya,Male,Perikanan,Sosial Ekonomi Perikanan,"Budidaya Ikan, Akuakultur, Tambak","Budidaya Ikan, Kualitas Air, Pakan",7.09,Yes,NA,No,NA,NA
Qirana Putri,Female,Sastra Inggris,Penerjemahan,"Pengajaran, Pendidikan, TEFL","Content Writing, Copywriting, Editing",7.69,Yes,TEFL Certification,No,NA,Masters in Translation
Nina Kusuma,Male,Kelautan,Ilmu Kelautan,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",6.76,Yes,,No,NA,NA
Galih Purnomo,Female,Pendidikan,Pendidikan IPA,"Teknologi Pendidikan, E-Learning","Bimbingan, Konseling, Komunikasi",8.6,Yes,TEFL,Yes,Instruktur,NA
Zara Nabila,Male,Perkapalan,Teknik Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",6.61,No,NA,Yes,Marine Engineer,NA
Lisa Amelia,Female,Ilmu Komunikasi,Jurnalistik,"Public Relations, Branding, Komunikasi","Social Media, Content Creation, SEO",7.86,No,NA,No,NA,Masters in Communication
Galih Purnomo,Female,Teknik Elektro,Elektronika,"Tenaga Listrik, Energi Terbarukan","AutoCAD Electrical, ETAP, MATLAB",7.41,Yes,NA,No,NA,Masters in Telecommunication
Fara Aulia,Female,Hubungan Internasional,Diplomasi,"Perdagangan Internasional, Ekonomi Global","Bahasa Inggris, Bahasa Asing, Negosiasi",8.5,Yes,IELTS 7.0+,Yes,Diplomat,Masters in International Law
Shinta Dewi,Female,Hubungan Internasional,Politik Internasional,"Organisasi Internasional, PBB, NGO","Bahasa Inggris, Bahasa Asing, Negosiasi",7.18,No,NA,No,NA,MA Diplomasi
Sari Indah,Male,Hubungan Internasional,Diplomasi,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",9.31,No,NA,No,,MA Diplomasi
Julia Permata,Male,Ilmu Komunikasi,Penyiaran,"Public Relations, Branding, Komunikasi","Public Speaking, Media Relations, Canva",6.07,No,NA,Yes,Public Relations Officer,MM Marketing Communication
Evan Setiawan,Male,Psikologi,Psikologi Klinis,"Konseling, Terapi, Kesehatan Mental","HR Management, Rekrutmen, Training",8.68,No,NA,Yes,,Masters in Counseling
Cahyo Wibowo,Female,Desain Komunikasi Visual,Desain UI/UX,"Animasi, Motion Graphics, Video","Figma, Adobe XD, Sketch, Prototyping",8.32,No,,No,NA,NA
Yogi Permana,Female,Pendidikan,Pendidikan Matematika,"Bimbingan Konseling, Psikologi Pendidikan","E-Learning, LMS, Canva, Presentasi",8.16,Yes,TEFL,No,,Masters in Education
Bella Safira,Female,Perikanan,Manajemen Sumberdaya Perairan,"Manajemen Sumber Daya, Konservasi","Budidaya Ikan, Kualitas Air, Pakan",6.66,No,NA,Yes,Penyuluh Perikanan,NA
Wahyu Nugroho,Female,Peternakan,Kesehatan Ternak,Teknologi Pengolahan Hasil Ternak,"Formulasi Pakan, Nutrisi, Lab",9.21,No,NA,No,NA,Masters in Animal Science
Bella Safira,Female,B.Tech,Civil,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",6.43,Yes,NA,Yes,Civil Engineer,Masters in Engineering
Eko Wahyudi,Female,Kedokteran,Kedokteran Umum,"Penelitian Medis, Farmakologi","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.63,Yes,,No,NA,NA
Qori Annisa,Male,BCA,Information Technology,"Data Science, AI, Machine Learning","C++, Data Structures, Algorithms",8.7,Yes,Python Certification,No,NA,MCA
Evan Setiawan,Female,BCA,Computer Applications,"Cybersecurity, Networking, Cloud","C++, Data Structures, Algorithms",7.77,No,NA,Yes,Data Analyst,NA
Leni Susanti,Male,Desain Komunikasi Visual,Ilustrasi,"UI/UX, Product Design, Prototyping","Adobe Illustrator, Photoshop, InDesign",7.46,Yes,Figma Certification,No,NA,MFA Design
Bella Safira,Male,Sistem Informasi,Manajemen Sistem Informasi,"IT Project Management, Konsultasi","Python, Tableau, Power BI, SQL",8.57,No,NA,No,NA,NA
Jeni Kurniawan,Male,B.Com,Business Studies,"Finance, Accounting, Business","Tally, MS Excel, Accounting",8.15,No,,Yes,Auditor,NA
Dian Rahayu,Female,Kedokteran,Kedokteran Gigi,"Penelitian Medis, Farmakologi","Penelitian, Statistik Medis, SPSS",7.02,No,NA,Yes,Dokter Umum,Spesialis Penyakit Dalam
Sari Indah,Female,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",8.89,Yes,,Yes,IoT Developer,NA
Taufik Hidayat,Female,BA,English,"Psychology, Counseling, HR","Public Speaking, Leadership, Teamwork",8.04,Yes,,Yes,HR Executive,NA
Cahyo Wibowo,Female,Pendidikan,Pendidikan Matematika,"Mengajar, Kurikulum, Pendidikan","Bimbingan, Konseling, Komunikasi",7.79,Yes,TEFL,No,NA,NA
Budi Santoso,Male,Pertanian,Agribisnis,"Teknologi Pertanian, Smart Farming, IoT","Drone Pertanian, Smart Farming, IoT",6.84,Yes,NA,No,NA,NA
Qirana Putri,Female,Teknik Industri,Logistik,"Supply Chain, Logistik, Operasional","Analisis Data, Minitab, SPSS",8.88,No,,No,NA,NA
Andi Pratama,Female,Sistem Informasi,Sistem Informasi Bisnis,"IT Project Management, Konsultasi","PHP, MySQL, Web Development",9.3,No,NA,Yes,IT Consultant,
Wahyu Nugroho,Male,Manajemen,Manajemen SDM,"SDM, Organisasi, Leadership","Financial Planning, Budgeting, Excel",7.37,Yes,Digital Marketing Google,Yes,HR Manager,NA
Qirana Putri,Female,Perkapalan,Teknik Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Marine Engineering, Pemeliharaan Kapal",7.79,No,,Yes,Surveyor Kapal,NA
Leni Susanti,Female,Teknik Industri,Teknik Produksi,"Manufaktur, Produksi, Lean Manufacturing","AutoCAD, Visio, Lean Six Sigma",9.07,Yes,PMP,Yes,Industrial Engineer,NA
Ulfah Rahmawati,Male,Perkapalan,Teknik Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Marine Engineering, Pemeliharaan Kapal",9.3,No,,Yes,Naval Architect,
Xena Pratiwi,Male,Perkapalan,Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","AutoCAD, Maxsurf, Ship Design",8.59,No,NA,Yes,Surveyor Kapal,Masters in Marine Engineering
Vino Pratama,Male,Akuntansi,Audit,"Keuangan, Investasi, Pasar Modal","SAP, Accurate, Jurnal Akuntansi",6.31,Yes,Brevet A & B,Yes,Akuntan,Masters in Accounting
Vina Melati,Male,B.Sc,Electronics,"Data Science, Analytics, AI","Python, R, MATLAB, Statistics",9.08,No,NA,No,NA,NA
Cahyo Wibowo,Female,B.Sc,Computer Science,"Research, Mathematics, Statistics","Research, Lab Skills, Report Writing",6.29,No,NA,Yes,Data Scientist,NA
Sari Indah,Female,Psikologi,Psikologi Sosial,"Penelitian, Asesmen, Psikometri","Psikotes, Asesmen, SPSS",6.72,Yes,Konselor Profesional,Yes,,MM SDM
Leni Susanti,Female,B.Tech,Electronics,"IoT, Embedded Systems, Robotics","Python, Java, C++, SQL",6.13,No,NA,No,,Masters in Engineering
Vina Melati,Male,Kelautan,Oseanografi,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",8.9,Yes,Remote Sensing Cert,Yes,Marine Surveyor,
Fara Aulia,Male,BCA,Software Development,"Data Science, AI, Machine Learning","JavaScript, HTML, CSS, React",8.08,Yes,Python Certification,Yes,Software Developer,NA
Yoga Aditya,Female,BCA,Software Development,"Programming, Web Development, Software","JavaScript, HTML, CSS, React",8.81,Yes,Python Certification,No,NA,Masters in Data Science
Oscar Firmansyah,Male,Psikologi,Psikologi Klinis,"Konseling, Terapi, Kesehatan Mental","Psikotes, Asesmen, SPSS",8.89,Yes,,Yes,Psikolog,
Miko Prasetyo,Male,Teknik Industri,Sistem Industri,"Manufaktur, Produksi, Lean Manufacturing","Analisis Data, Minitab, SPSS",7.43,Yes,Lean Six Sigma Green Belt,Yes,Quality Engineer,NA
Cahyo Wibowo,Female,Psikologi,Psikologi Pendidikan,"Penelitian, Asesmen, Psikometri","Psikotes, Asesmen, SPSS",9.28,Yes,Konselor Profesional,No,NA,Magister Psikologi
Reza Mahendra,Male,Sastra Inggris,Sastra,"Penerjemahan, Bahasa, Linguistik","Content Writing, Copywriting, Editing",6.81,Yes,TOEFL 600+,No,NA,MA Linguistics
Hana Sari,Male,Ilmu Komunikasi,Penyiaran,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",6.97,No,NA,No,NA,Masters in Communication
Yoga Aditya,Female,Sistem Informasi,Sistem Informasi Bisnis,"Sistem Informasi, ERP, Business Analysis","SQL, SAP, Business Analysis, Excel",7.4,No,NA,Yes,IT Consultant,Magister Sistem Informasi
Qori Annisa,Male,Desain Komunikasi Visual,Desain Grafis,"UI/UX, Product Design, Prototyping","After Effects, Premiere Pro, Animasi",8.9,No,NA,No,NA,Masters in Design
Ivan Gunawan,Female,Kedokteran,Spesialis Bedah,"Bedah, Operasi, Spesialis","Penelitian, Statistik Medis, SPSS",8.65,No,NA,Yes,Peneliti Medis,NA
Reza Mahendra,Female,B.Com,Commerce,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",7.04,No,NA,Yes,Auditor,NA
Miko Prasetyo,Male,Perkapalan,Teknik Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Marine Engineering, Pemeliharaan Kapal",8.44,No,,Yes,,
Evan Setiawan,Male,Teknik Industri,Logistik,"Manufaktur, Produksi, Lean Manufacturing","Analisis Data, Minitab, SPSS",9.38,No,NA,No,NA,NA
Irfan Maulana,Male,Sastra Inggris,Sastra,"Penerjemahan, Bahasa, Linguistik","Content Writing, Copywriting, Editing",8.3,Yes,TOEFL 600+,Yes,,NA
Tegar Wicaksono,Female,BCA,Information Technology,"Programming, Web Development, Software","C++, Data Structures, Algorithms",9.29,No,,Yes,Mobile Developer,Masters in Data Science
Putri Ayu,Male,B.Sc,Statistics,"Physics, Research, Innovation","Data Analysis, Machine Learning, SQL",9.07,No,,Yes,Lab Researcher,NA
Agus Salim,Female,Desain Komunikasi Visual,Animasi,"UI/UX, Product Design, Prototyping","After Effects, Premiere Pro, Animasi",6.11,No,,Yes,Motion Designer,Masters in Design
Yogi Permana,Female,Perikanan,Manajemen Sumberdaya Perairan,"Pengolahan Ikan, Teknologi Pangan","GIS, Pemetaan Perairan, Analisis",6.11,Yes,HACCP Certification,Yes,Pembudidaya Ikan,NA
Miko Prasetyo,Female,BCA,Software Development,"Cybersecurity, Networking, Cloud","C++, Data Structures, Algorithms",7.96,No,NA,Yes,Mobile Developer,NA
Oscar Firmansyah,Female,Teknik Industri,Sistem Industri,"Quality Control, Six Sigma, Kaizen","AutoCAD, Visio, Lean Six Sigma",8.5,No,,No,NA,
Petra Wijaya,Female,Teknik Industri,Manajemen Operasi,"Supply Chain, Logistik, Operasional","MS Project, ERP, SAP",6.83,Yes,NA,Yes,Supply Chain Analyst,Masters in Supply Chain
Agus Salim,Male,Teknik Elektro,Kontrol dan Instrumentasi,"Telekomunikasi, Jaringan, RF","Arduino, Raspberry Pi, C++, IoT",9.42,No,NA,Yes,IoT Engineer,Masters in Telecommunication
Gilang Ramadhan,Male,Kelautan,Ilmu Kelautan,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",8.48,Yes,GIS Certification,No,NA,NA
Sari Indah,Male,Perikanan,Teknologi Hasil Perikanan,"Pengolahan Ikan, Teknologi Pangan","GIS, Pemetaan Perairan, Analisis",8.07,Yes,NA,Yes,Pembudidaya Ikan,NA
Bella Safira,Female,Kelautan,Teknologi Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Diving, Survei Laut, GIS, QGIS",8.64,Yes,GIS Certification,Yes,Konservasi Spesialis,NA
Galih Purnomo,Female,Manajemen,Manajemen Bisnis,"Bisnis, Pemasaran, Strategi","Marketing, Branding, Social Media",7.73,Yes,NA,No,NA,NA
Vino Pratama,Male,BCA,Information Technology,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",8.4,No,NA,Yes,Data Analyst,NA
Kevin Surya,Female,Psikologi,Psikologi Pendidikan,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",9.46,No,,Yes,Psikolog,Masters in Counseling
Ivan Gunawan,Male,Farmasi,Farmasi Klinis,"Industri Farmasi, Produksi, QC","Compounding, Dispensing, Farmakologi",7.72,No,NA,No,NA,NA
Tegar Wicaksono,Male,B.Tech,Mechanical,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",7.03,Yes,TensorFlow Developer,Yes,ML Engineer,Masters in AI
Dita Maharani,Male,Hukum,Hukum Bisnis,"Litigasi, Advokasi, Peradilan","Negosiasi, Mediasi, Komunikasi",6.34,No,NA,Yes,Legal Consultant,Magister Hukum
Ragil Saputro,Male,Psikologi,Psikologi Pendidikan,"HR, Rekrutmen, Pengembangan SDM","Konseling, Wawancara, Empati",8.05,Yes,NA,No,,Masters in Counseling
Vino Pratama,Male,Kelautan,Ilmu Kelautan,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",7.77,Yes,GIS Certification,Yes,Marine Surveyor,NA
Evan Setiawan,Male,Teknik Industri,Sistem Industri,"Manufaktur, Produksi, Lean Manufacturing","MS Project, ERP, SAP",8.4,No,NA,No,NA,NA
Wulan Sari,Female,Perkapalan,Teknik Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",6.92,No,NA,Yes,Marine Engineer,NA
Tegar Wicaksono,Male,Sistem Informasi,Enterprise System,"Database, Data Management, BI","PHP, MySQL, Web Development",7.52,Yes,SAP Certified,No,NA,NA
Jeni Kurniawan,Female,BCA,Information Technology,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",7.86,No,NA,No,,NA
Vina Melati,Male,Psikologi,Psikologi Pendidikan,"HR, Rekrutmen, Pengembangan SDM","Psikotes, Asesmen, SPSS",7.21,Yes,,Yes,Career Counselor,NA
Yoga Aditya,Male,B.Com,Economics,"Marketing, Sales, Business","MS Excel, PowerPoint, Business Analysis",8.68,Yes,Tally Certification,Yes,Business Analyst,MBA Finance
Kevin Surya,Female,Kedokteran,Spesialis Anak,"Penelitian Medis, Farmakologi","Diagnosis, Anamnesis, Pemeriksaan Fisik",8.6,Yes,STR Dokter,Yes,Dokter Umum,NA
Budi Santoso,Male,Kedokteran,Kedokteran Gigi,"Klinik, Pasien, Diagnosis","Tindakan Medis, Jahit Luka, Infus",9.17,No,NA,No,,Spesialis Penyakit Dalam
Wulan Sari,Female,Perikanan,Budidaya Perairan,"Budidaya Ikan, Akuakultur, Tambak","GIS, Pemetaan Perairan, Analisis",8.82,Yes,Sertifikasi Akuakultur,No,NA,Masters in Fisheries
Reza Mahendra,Female,Kedokteran,Kedokteran Gigi,"Klinik, Pasien, Diagnosis","Tindakan Medis, Jahit Luka, Infus",9.81,No,NA,No,NA,NA
Evan Setiawan,Female,Hukum,HTN,"Hukum Internasional, Diplomasi","Legal Drafting, Analisis Hukum, Riset",7.3,No,NA,No,NA,NA
Budi Santoso,Female,Ekonomi Pembangunan,Ekonomi Regional,"Moneter, Perbankan, Keuangan Publik","Kebijakan Publik, Riset, Laporan",7.67,Yes,,No,NA,Masters in Economics
Leni Susanti,Male,Sastra Inggris,Linguistik,"Penerjemahan, Bahasa, Linguistik","Mengajar, Kurikulum, TOEFL",8.16,No,NA,Yes,Penerjemah,NA
Citra Dewi,Female,BA,History,"Public Policy, Law, Governance","MS Office, Content Writing, SEO",8.72,No,NA,Yes,Journalist,NA
Dita Maharani,Female,Desain Komunikasi Visual,Fotografi,"Animasi, Motion Graphics, Video","After Effects, Premiere Pro, Animasi",9.47,Yes,,No,,NA
Kevin Surya,Male,B.Tech,Mechanical,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",9.45,No,,Yes,IoT Developer,NA
Sari Indah,Male,B.Com,Business Studies,"Marketing, Sales, Business","Financial Modeling, Excel, SAP",9.23,No,NA,No,NA,NA
Nina Kusuma,Female,Peternakan,Teknologi Hasil Ternak,"Nutrisi, Pakan Ternak, Formulasi","Formulasi Pakan, Nutrisi, Lab",6.72,No,,Yes,Nutritionist Ternak,NA
Andi Pratama,Female,B.Sc,Physics,"Research, Mathematics, Statistics","Research, Lab Skills, Report Writing",6.35,No,NA,No,NA,
Jeni Kurniawan,Male,Pertanian,Ilmu Tanah,"Teknologi Pertanian, Smart Farming, IoT","Budidaya Tanaman, Analisis Tanah, GIS",9.25,No,NA,No,NA,NA
Qori Annisa,Male,Sistem Informasi,Sistem Informasi Bisnis,"IT Project Management, Konsultasi","SQL, SAP, Business Analysis, Excel",6.38,Yes,CBAP,Yes,IT Consultant,MBA IT
Krisna Bayu,Female,Desain Komunikasi Visual,Fotografi,"Animasi, Motion Graphics, Video","Figma, Adobe XD, Sketch, Prototyping",6.73,Yes,Google UX Design,Yes,Graphic Designer,Masters in UX
Irfan Maulana,Female,BCA,Information Technology,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",7.58,Yes,AWS Cloud Practitioner,No,NA,NA
Ulfa Nuraini,Male,Pendidikan,Bimbingan Konseling,"Mengajar, Kurikulum, Pendidikan","Mengajar, RPP, Kurikulum Merdeka",9.53,No,NA,Yes,Dosen,NA
Bella Safira,Female,Farmasi,Farmasi Industri,"Farmasi Klinis, Obat, Pasien","QC, QA, GMP, HPLC",9.32,No,NA,No,NA,Sp. Farmasi Klinis
Mohammad Rizki,Female,B.Com,Business Studies,"Banking, Finance, Economics","Tally, MS Excel, Accounting",6.02,No,NA,No,NA,
Citra Dewi,Female,Hukum,Hukum Internasional,"Hukum Bisnis, Kontrak, Korporasi","Legal Drafting, Analisis Hukum, Riset",9.39,No,NA,No,NA,Magister Hukum
Dita Maharani,Female,Pertanian,Agribisnis,"Agribisnis, Wirausaha, Pasar Tani","Drone Pertanian, Smart Farming, IoT",9.06,Yes,Sertifikasi Penyuluh Pertanian,No,NA,Magister Pertanian
Agus Salim,Male,B.Sc,Mathematics,"Data Science, Analytics, AI","Research, Lab Skills, Report Writing",8.63,No,NA,Yes,Electronics Engineer,NA
Vina Melati,Female,B.Com,Economics,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",8.53,No,NA,Yes,Tax Consultant,
Galih Purnomo,Male,Perkapalan,Konstruksi Kapal,"Desain Kapal, Konstruksi, Naval Architecture","AutoCAD, Maxsurf, Ship Design",7.64,No,NA,Yes,Surveyor Kapal,NA
Taufik Hidayat,Female,B.Com,Economics,"Marketing, Sales, Business","Tally, MS Excel, Accounting",7.2,Yes,NA,Yes,Accountant,MBA Finance
Yogi Permana,Male,B.Com,Commerce,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",7.31,Yes,CFA Level 1,No,NA,MBA Finance
Irfan Maulana,Female,Hukum,Hukum Internasional,"Litigasi, Advokasi, Peradilan","Legal Drafting, Analisis Hukum, Riset",6.93,Yes,Sertifikasi Notaris,No,NA,NA
Xena Pratiwi,Female,Ekonomi Pembangunan,Perencanaan Pembangunan,"Perdagangan Internasional, Ekspor Impor","MS Excel, Statistik, Data Analysis",8.91,Yes,NA,Yes,Staf Pemerintahan,NA
Vina Melati,Female,Akuntansi,Akuntansi Keuangan,"Keuangan, Investasi, Pasar Modal","SAP, Accurate, Jurnal Akuntansi",6.93,No,NA,No,NA,Masters in Accounting
Leni Susanti,Female,Ilmu Komunikasi,Periklanan,"Digital Marketing, Social Media, Konten","Public Speaking, Media Relations, Canva",8.3,Yes,Content Writing,Yes,Content Creator,MA Jurnalistik
Lisa Amelia,Female,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",8.13,Yes,NA,No,NA,NA
Xena Pratiwi,Female,Kelautan,Teknologi Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Remote Sensing, Citra Satelit, Analisis",7.08,Yes,PADI Dive Master,No,NA,NA
Kevin Surya,Male,B.Com,Business Studies,"Banking, Finance, Economics","Financial Modeling, Excel, SAP",9.3,Yes,CFA Level 1,Yes,Business Analyst,Masters in Finance
Zara Nabila,Male,Ilmu Komunikasi,Penyiaran,"Jurnalistik, Media, Penulisan Berita","Social Media, Content Creation, SEO",6.52,Yes,Content Writing,No,NA,
Julia Permata,Female,Psikologi,Psikologi Klinis,"HR, Rekrutmen, Pengembangan SDM","Konseling, Wawancara, Empati",7.6,No,NA,No,NA,NA
Gilang Ramadhan,Female,Perkapalan,Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","AutoCAD, Maxsurf, Ship Design",7.48,No,NA,No,NA,NA
Vino Pratama,Male,Peternakan,Nutrisi Ternak,Teknologi Pengolahan Hasil Ternak,"Manajemen Ternak, Kesehatan Hewan, Vaksinasi",8.61,No,NA,No,,NA
